epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.829476,4.800878,0.992000,5.26
2,4.798986,4.794446,0.997000,3.68
3,4.793379,4.793340,0.997000,3.67
4,4.790707,4.790437,0.997000,3.66
5,4.789301,4.790792,0.997000,3.55
6,4.788382,4.789337,0.997000,3.53
7,4.787853,4.788886,0.997000,3.54
8,4.787359,4.789948,0.998000,3.54
9,4.787110,4.788386,0.992000,3.54
10,4.786520,4.788592,0.997500,3.54
11,4.786093,4.788352,0.997000,3.54
12,4.785798,4.789661,0.997000,3.54
13,4.785470,4.789673,0.997500,3.55
14,4.785325,4.789441,0.997500,3.54
15,4.784689,4.788743,0.997000,3.55
16,4.784487,4.790757,0.997000,3.54
17,4.783943,4.791443,0.997000,3.54
18,4.783587,4.788957,0.997500,3.54
19,4.783109,4.789631,0.997000,3.54
20,4.782706,4.791667,0.997000,3.54
21,4.782301,4.792322,0.997000,3.54
22,4.781710,4.791697,0.997000,3.54
23,4.781141,4.792129,0.997500,3.54
24,4.780689,4.791923,0.997500,3.54
25,4.780130,4.793017,0.998000,3.55
26,4.779263,4.791948,0.997500,3.55
27,4.778565,4.792813,0.997000,3.55
28,4.777485,4.796704,0.997000,3.55
29,4.776416,4.796266,0.998000,3.55
30,4.774910,4.797981,0.998000,3.55
