epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.223610,4.184375,0.256000,140.59
2,4.201917,4.181451,0.638500,139.28
3,4.197925,4.178550,0.758500,139.30
4,4.196003,4.178493,0.834500,139.30
5,4.195381,4.176657,0.892000,139.00
6,4.194728,4.175961,0.952000,139.07
7,4.193800,4.175586,0.980500,139.02
8,4.192665,4.175682,0.972000,139.02
9,4.193580,4.175031,0.972500,138.97
10,4.192653,4.176630,0.951500,138.92
11,4.192935,4.176766,0.985500,139.02
12,4.192892,4.174749,0.986000,139.05
13,4.191801,4.174992,0.990500,138.96
14,4.192574,4.174911,0.995000,139.03
15,4.192111,4.174938,0.981000,138.96
16,4.192212,4.175069,0.990500,138.86
17,4.191734,4.174846,0.995000,138.74
18,4.192009,4.174654,0.995000,138.76
19,4.192660,4.174962,0.966000,138.67
20,4.192067,4.175615,0.981500,138.68
21,4.192105,4.175343,0.976500,138.79
22,4.192501,4.175481,0.990500,138.77
23,4.192406,4.175631,0.994500,138.79
24,4.192653,4.175636,0.993500,138.78
25,4.192531,4.176279,0.988500,138.72
26,4.192619,4.176304,0.974500,138.74
27,4.193030,4.176112,0.987000,138.79
28,4.193122,4.176960,0.990500,138.74
29,4.193838,4.176339,0.992000,138.66
30,4.194230,4.177298,0.990500,138.70
