epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.282485,4.199593,0.998500,4.63
2,4.202917,4.189388,0.998000,4.28
3,4.194564,4.189064,1.000000,4.29
4,4.190395,4.186666,1.000000,4.28
5,4.188047,4.185381,1.000000,4.30
6,4.186166,4.186213,0.999000,4.27
7,4.184160,4.185915,0.994000,4.28
8,4.182586,4.183047,0.999500,4.27
9,4.180698,4.182990,0.994500,4.29
10,4.178856,4.182904,1.000000,4.29
11,4.177664,4.181913,1.000000,4.28
12,4.176020,4.182961,1.000000,4.28
13,4.174199,4.183233,1.000000,4.28
14,4.172508,4.183558,1.000000,4.28
15,4.170494,4.184017,0.995500,4.28
16,4.168399,4.185502,1.000000,4.27
17,4.166236,4.186335,1.000000,4.27
18,4.163812,4.188287,0.999000,4.29
19,4.161845,4.188894,1.000000,4.27
20,4.159097,4.192043,1.000000,4.27
21,4.156424,4.192841,0.998000,4.27
22,4.153474,4.195211,1.000000,4.28
23,4.150775,4.197630,1.000000,4.27
24,4.147853,4.199357,1.000000,4.27
25,4.145388,4.200731,1.000000,4.28
26,4.142740,4.202222,1.000000,4.28
27,4.139984,4.205497,1.000000,4.28
28,4.137278,4.207174,1.000000,4.28
29,4.134793,4.209358,1.000000,4.27
30,4.132250,4.210759,1.000000,4.27
31,4.129390,4.213932,1.000000,4.27
32,4.127124,4.217306,0.998000,4.28
33,4.124616,4.217857,1.000000,4.27
34,4.122217,4.223379,1.000000,4.27
35,4.119779,4.222511,1.000000,4.28
36,4.117601,4.224152,1.000000,4.27
37,4.115309,4.227836,1.000000,4.28
38,4.112688,4.232779,0.999000,4.27
39,4.110744,4.232227,1.000000,4.28
40,4.108417,4.236721,1.000000,4.28
41,4.106606,4.234729,1.000000,4.28
42,4.104932,4.234429,1.000000,4.28
43,4.102841,4.239681,1.000000,4.28
44,4.100417,4.239674,1.000000,4.28
45,4.098689,4.239544,1.000000,4.28
46,4.096800,4.243023,1.000000,4.28
47,4.095436,4.244569,1.000000,4.27
48,4.093516,4.247033,1.000000,4.27
49,4.091565,4.250466,1.000000,4.26
50,4.089527,4.248756,1.000000,4.27
