epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.319406,4.231846,0.559000,4.95
2,4.240721,4.214505,0.873500,4.55
3,4.228663,4.207548,0.920000,4.55
4,4.223467,4.207818,0.921500,4.54
5,4.221086,4.205661,0.947000,4.54
6,4.219342,4.205644,0.916500,4.53
7,4.218652,4.204491,0.918000,4.54
8,4.217751,4.202465,0.931000,4.53
9,4.217398,4.206995,0.870500,4.51
10,4.217554,4.205384,0.848500,4.52
11,4.217264,4.205686,0.882500,4.53
12,4.217237,4.203433,0.873000,4.52
13,4.216430,4.205705,0.812500,4.53
14,4.215588,4.205265,0.841000,4.53
15,4.215862,4.205314,0.835500,4.53
16,4.215700,4.204773,0.868000,4.53
17,4.214889,4.203152,0.885000,4.53
18,4.214034,4.202949,0.872000,4.53
19,4.215129,4.203903,0.859000,4.52
20,4.213578,4.203669,0.869500,4.54
21,4.214283,4.202016,0.893500,4.52
22,4.212769,4.203986,0.876500,4.52
23,4.212856,4.204418,0.818000,4.51
24,4.212905,4.202554,0.884500,4.51
25,4.212283,4.203479,0.886000,4.52
26,4.212474,4.202625,0.897500,4.51
27,4.211894,4.201588,0.883500,4.52
28,4.211155,4.201466,0.909500,4.54
29,4.211391,4.203243,0.883000,4.53
30,4.211392,4.203001,0.879500,4.53
