epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.409017,4.301947,0.089500,6.62
2,4.307612,4.282780,0.109500,4.54
3,4.300224,4.281851,0.120000,4.54
4,4.294832,4.277505,0.157500,4.53
5,4.294664,4.277302,0.128500,4.53
6,4.293502,4.280668,0.175500,4.52
7,4.295583,4.280646,0.157500,4.53
8,4.294903,4.276067,0.166000,4.53
9,4.290984,4.278692,0.169000,4.52
10,4.288475,4.274768,0.168500,4.52
11,4.288345,4.272281,0.210500,4.54
12,4.287411,4.273032,0.184000,4.53
13,4.287030,4.276900,0.184500,4.53
14,4.287005,4.274514,0.187500,4.52
15,4.288678,4.270716,0.215500,4.53
16,4.285321,4.272442,0.253000,4.53
17,4.286364,4.280307,0.159000,4.52
18,4.291304,4.278593,0.182500,4.52
19,4.292016,4.276139,0.201500,4.53
20,4.291278,4.276845,0.203000,4.53
21,4.290000,4.278711,0.193500,4.52
22,4.288490,4.273848,0.176000,4.53
23,4.285823,4.274123,0.159500,4.53
24,4.283407,4.272211,0.193000,4.53
25,4.284777,4.270881,0.197500,4.52
26,4.290535,4.275076,0.183500,4.52
27,4.285340,4.271240,0.198500,4.53
28,4.283536,4.269693,0.193500,4.53
29,4.279179,4.265258,0.246500,4.53
30,4.280355,4.267412,0.210500,4.52
