epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,nan,nan,0.003500,2.79
2,nan,nan,0.003500,2.47
3,nan,nan,0.003500,2.46
4,nan,nan,0.003500,2.46
5,nan,nan,0.003500,2.46
6,nan,nan,0.003500,2.46
7,nan,nan,0.003500,2.46
8,nan,nan,0.003500,2.46
9,nan,nan,0.003500,2.45
10,nan,nan,0.003500,2.46
11,nan,nan,0.003500,2.46
12,nan,nan,0.003500,2.46
13,nan,nan,0.003500,2.45
14,nan,nan,0.003500,2.46
15,nan,nan,0.003500,2.45
16,nan,nan,0.003500,2.46
17,nan,nan,0.003500,2.46
18,nan,nan,0.003500,2.46
19,nan,nan,0.003500,2.47
20,nan,nan,0.003500,2.45
21,nan,nan,0.003500,2.45
22,nan,nan,0.003500,2.45
23,nan,nan,0.003500,2.46
24,nan,nan,0.003500,2.45
25,nan,nan,0.003500,2.46
26,nan,nan,0.003500,2.46
27,nan,nan,0.003500,2.45
28,nan,nan,0.003500,2.45
29,nan,nan,0.003500,2.45
30,nan,nan,0.003500,2.45
