epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.392439,4.293794,0.194500,5.03
2,4.273847,4.278712,0.304500,4.63
3,4.261929,4.276611,0.347000,4.62
4,4.256253,4.281391,0.326500,4.62
5,4.252808,4.319095,0.355500,4.61
6,4.253296,4.302798,0.313000,4.62
7,4.251007,4.303852,0.341000,4.62
8,4.247896,4.292356,0.321500,4.61
9,4.245942,4.301089,0.334500,4.63
10,4.244850,4.294500,0.359500,4.61
11,4.244856,4.292601,0.312500,4.62
12,4.245012,4.295536,0.323000,4.61
13,4.246699,4.309355,0.254500,4.61
14,4.247981,4.312130,0.265000,4.62
15,4.246415,4.312188,0.259000,4.60
16,4.248714,4.311629,0.287000,4.61
17,4.250377,4.332878,0.255000,4.62
18,4.252297,4.316009,0.208500,4.61
19,4.248621,4.330583,0.248000,4.62
20,4.247244,4.324311,0.206500,4.61
21,4.246114,4.324973,0.221500,4.60
22,4.247441,4.324111,0.287000,4.61
23,4.248174,4.321924,0.269500,4.61
24,4.247674,4.321120,0.193500,4.63
25,4.248102,4.325671,0.216500,4.62
26,4.246836,4.305276,0.260500,4.61
27,4.245847,4.347575,0.275000,4.61
28,4.246157,4.379587,0.253500,4.60
29,4.244653,4.381994,0.266500,4.61
30,4.244252,4.363449,0.246000,4.61
