epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.619753,4.379084,0.000000,5.68
2,4.349293,4.297208,0.046000,4.60
3,4.304369,4.273918,0.063500,4.59
4,4.288354,4.261320,0.107500,4.59
5,4.277802,4.251135,0.146500,4.59
6,4.270407,4.245346,0.173500,4.59
7,4.265033,4.241000,0.161500,4.58
8,4.260792,4.237323,0.177000,4.59
9,4.257610,4.235523,0.173500,4.59
10,4.254826,4.232866,0.208000,4.59
11,4.252291,4.230172,0.258000,4.59
12,4.250559,4.227862,0.305000,4.58
13,4.248540,4.226165,0.321500,4.59
14,4.246712,4.224696,0.307500,4.59
15,4.245533,4.223387,0.361500,4.58
16,4.244074,4.222457,0.381000,4.59
17,4.242759,4.220382,0.394500,4.59
18,4.241462,4.219481,0.403000,4.59
19,4.240210,4.218628,0.456500,4.59
20,4.239426,4.217400,0.431500,4.59
21,4.238384,4.217333,0.458000,4.58
22,4.237248,4.216310,0.483000,4.59
23,4.236405,4.214034,0.500000,4.59
24,4.236291,4.213997,0.531000,4.59
25,4.235088,4.212812,0.504500,4.59
26,4.234509,4.212061,0.528500,4.59
27,4.233881,4.211820,0.565000,4.59
28,4.233044,4.210658,0.548500,4.58
29,4.232375,4.210330,0.556500,4.59
30,4.231800,4.209787,0.568000,4.59
