epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.854099,4.845908,1.000000,270.52
2,4.848028,4.846359,1.000000,268.40
3,4.848931,4.848854,1.000000,268.10
4,4.850127,4.849206,1.000000,268.04
5,4.851033,4.854264,1.000000,267.98
6,4.853143,4.856102,1.000000,267.98
7,4.853830,4.857027,0.550500,268.04
8,4.857726,4.850017,0.999500,268.03
9,4.862263,4.857606,0.999500,267.97
10,4.863183,4.871350,1.000000,267.97
11,4.863899,4.859633,1.000000,267.98
12,4.864762,4.846914,1.000000,267.96
13,4.885918,4.955971,1.000000,267.96
14,4.888472,4.843986,1.000000,267.97
15,4.890365,4.917633,0.999500,267.98
16,4.893184,4.850387,1.000000,267.97
17,4.905802,4.924641,1.000000,267.99
18,4.945149,4.859211,1.000000,267.99
19,4.949005,4.960639,0.992500,267.98
20,4.952475,4.844890,0.990500,268.01
21,4.955590,4.855090,0.992000,267.97
22,4.958778,5.279483,0.969000,267.97
23,4.998648,5.275014,0.980000,267.97
24,5.105773,4.846125,0.979000,267.99
25,5.115030,4.913475,0.963500,267.96
26,5.130276,4.846497,0.934500,267.96
27,5.145673,4.846437,0.949000,267.97
28,5.165718,4.846348,0.955500,267.99
29,5.176340,5.005098,0.926000,267.97
30,5.191076,6.274769,0.946000,267.99
