epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.281174,4.195863,0.969500,6.32
2,4.196076,4.183177,0.999000,5.92
3,4.186671,4.181164,0.999500,5.90
4,4.182307,4.179843,0.999500,5.91
5,4.180118,4.178333,1.000000,5.90
6,4.178368,4.176241,0.998500,5.91
7,4.177140,4.176625,0.999500,5.89
8,4.176095,4.175315,0.992000,5.91
9,4.175302,4.176435,1.000000,5.89
10,4.174052,4.175917,1.000000,5.90
11,4.173981,4.175877,1.000000,5.90
12,4.173127,4.173556,0.984500,5.89
13,4.172726,4.174093,0.999500,5.90
14,4.172122,4.174185,0.999500,5.90
15,4.171248,4.174298,1.000000,5.90
16,4.171432,4.173444,0.997000,5.90
17,4.170607,4.173322,0.997500,5.90
18,4.170257,4.174633,0.983500,5.90
19,4.169806,4.173692,0.999500,5.90
20,4.169318,4.173720,0.992500,5.90
21,4.168771,4.173388,0.994000,5.91
22,4.168166,4.173276,1.000000,5.90
23,4.167556,4.173362,0.995000,5.90
24,4.167182,4.173952,0.987500,5.90
25,4.167030,4.173389,0.999500,5.89
26,4.166389,4.173076,0.994500,5.90
27,4.165858,4.173448,1.000000,5.90
28,4.165747,4.173606,0.995500,5.91
29,4.164857,4.173866,0.993500,5.90
30,4.164197,4.175614,0.993500,5.90
31,4.163978,4.174998,0.996500,5.90
32,4.162692,4.174821,0.999500,5.90
33,4.162566,4.174692,0.997500,5.90
34,4.161836,4.176777,1.000000,5.90
35,4.160845,4.175676,0.992500,5.89
36,4.160690,4.176391,1.000000,5.91
37,4.159885,4.177378,0.994500,5.91
38,4.158811,4.177586,0.998000,5.90
39,4.158023,4.177518,0.993500,5.90
40,4.157509,4.177823,0.999000,5.89
41,4.157502,4.177308,0.996000,5.90
42,4.156593,4.177804,1.000000,5.90
43,4.155827,4.180909,0.992000,5.90
44,4.154751,4.181431,0.993500,5.89
45,4.154061,4.181210,0.997000,5.88
46,4.153579,4.180601,0.989500,5.89
47,4.153093,4.183335,0.984500,5.88
48,4.151885,4.182560,0.996000,5.88
49,4.151098,4.183999,0.988500,5.90
50,4.150190,4.181818,0.993000,5.89
