epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.259028,4.260079,0.054000,169.87
2,4.224930,4.253274,0.049000,169.49
3,4.221257,4.257833,0.062500,169.45
4,4.219688,4.250935,0.074000,169.47
5,4.220594,4.262325,0.035000,169.44
6,4.220140,4.254511,0.031500,169.49
7,4.219402,4.255568,0.044500,169.48
8,4.218757,4.256173,0.025000,169.46
9,4.218097,4.251176,0.021500,169.45
10,4.217357,4.248217,0.034500,169.49
11,4.217366,4.252810,0.033000,169.52
12,4.218637,4.251638,0.053000,169.49
13,4.219355,4.261511,0.036500,169.52
14,4.219806,4.256994,0.068000,169.53
15,4.219432,4.263441,0.024000,169.52
16,4.218683,4.269753,0.042500,169.45
17,4.218209,4.286040,0.050500,169.47
18,4.220045,4.289255,0.053000,169.47
19,4.220949,4.294548,0.034000,169.45
20,4.219130,4.293102,0.042000,169.46
21,4.218478,4.325677,0.034500,169.43
22,4.220246,4.300902,0.028500,169.46
23,4.219275,4.294688,0.029500,169.45
24,4.219962,4.316288,0.023000,169.46
25,4.219830,4.324862,0.017000,169.47
26,4.221484,4.332367,0.000500,169.45
27,4.222384,4.334135,0.002500,169.44
28,4.221904,4.349161,0.004000,169.44
29,4.221171,4.340549,0.006500,169.45
30,4.221847,4.331621,0.011000,169.37
