epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.851425,4.847058,0.999500,689.75
2,4.846981,4.845302,1.000000,689.71
3,4.845205,4.845422,1.000000,690.14
4,4.844782,4.845480,1.000000,690.23
5,4.844530,4.845515,1.000000,690.30
6,4.844433,4.845145,1.000000,690.34
7,4.844376,4.844841,1.000000,690.35
8,4.844333,4.844780,1.000000,690.41
9,4.844308,4.844981,1.000000,690.44
10,4.844290,4.845038,1.000000,690.57
11,4.844274,4.844612,1.000000,690.69
12,4.844254,4.844712,1.000000,690.56
13,4.844239,4.844592,1.000000,689.82
14,4.844230,4.844822,1.000000,689.93
15,4.844222,4.844562,1.000000,690.23
16,4.844215,4.844737,1.000000,690.34
17,4.844207,4.844545,1.000000,690.43
18,4.844202,4.844487,1.000000,690.75
19,4.844196,4.844701,1.000000,690.49
20,4.844186,4.844571,1.000000,690.46
21,4.844177,4.844479,1.000000,690.47
22,4.844174,4.844613,1.000000,690.62
23,4.844168,4.844408,1.000000,690.63
24,4.844160,4.844489,1.000000,690.65
25,4.844153,4.844373,1.000000,690.48
26,4.844144,4.844499,1.000000,690.68
27,4.844138,4.844543,1.000000,690.63
28,4.844133,4.844428,1.000000,690.82
29,4.844129,4.844396,1.000000,690.69
30,4.844125,4.844473,1.000000,690.68
