epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.858263,4.851221,0.000000,1958.01
2,4.852909,4.851110,0.000000,1958.38
3,4.852849,4.851569,0.000000,1957.61
4,4.853067,4.852038,0.000000,1958.18
5,4.852928,4.853311,0.000000,1957.47
6,4.852920,4.854395,0.000000,1957.60
7,4.852931,4.854417,0.000000,1955.94
8,4.852783,4.854181,0.000000,1956.39
9,4.852588,4.855182,0.000000,1956.29
10,4.852405,4.854720,0.000000,1956.64
11,4.852174,4.853687,0.000000,1956.54
12,4.851984,4.854144,0.000000,1956.39
13,4.851805,4.855014,0.000000,1956.81
14,4.851662,4.855418,0.000000,1956.85
15,4.851522,4.855924,0.000000,1956.45
16,4.851381,4.855984,0.000000,1957.24
17,4.851243,4.855481,0.000000,1956.83
18,4.851228,4.854620,0.000000,1957.63
