epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.948385,4.635175,0.000000,4.86
2,4.515031,4.435419,0.000000,3.36
3,4.406839,4.376689,0.000000,3.35
4,4.361641,4.341588,0.000000,3.36
5,4.339906,4.325929,0.002750,3.35
6,4.328473,4.314993,0.010500,3.36
7,4.320034,4.305663,0.010500,3.35
8,4.312900,4.299142,0.008500,3.35
9,4.307721,4.293869,0.007250,3.36
10,4.303477,4.289389,0.011750,3.35
11,4.299887,4.286742,0.018000,3.35
12,4.297208,4.283434,0.032500,3.35
13,4.295126,4.281694,0.044250,3.35
14,4.293374,4.279907,0.046000,3.35
15,4.292039,4.278180,0.048250,3.35
16,4.290607,4.277567,0.046000,3.35
17,4.289684,4.275580,0.041500,3.35
18,4.288693,4.275009,0.051750,3.35
19,4.287896,4.273885,0.058750,3.35
20,4.286619,4.273015,0.058000,3.35
21,4.286325,4.271806,0.074000,3.35
22,4.285308,4.270835,0.073000,3.35
23,4.284339,4.269924,0.084750,3.35
24,4.283356,4.268831,0.098250,3.35
25,4.282626,4.267922,0.084250,3.35
26,4.281600,4.266952,0.095000,3.35
27,4.280822,4.266367,0.094750,3.35
28,4.280088,4.265586,0.101750,3.35
29,4.279433,4.264611,0.108000,3.35
30,4.278246,4.263741,0.116000,3.35
