epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.762859,4.466725,0.000000,5.91
2,4.409930,4.363770,0.004000,4.53
3,4.342916,4.319834,0.008750,4.53
4,4.312296,4.297534,0.016750,4.52
5,4.298080,4.285905,0.031750,4.53
6,4.288288,4.273677,0.069000,4.52
7,4.277492,4.263548,0.089500,4.52
8,4.270035,4.260019,0.099500,4.52
9,4.265273,4.255109,0.119250,4.52
10,4.261289,4.251372,0.132500,4.52
11,4.257866,4.247626,0.139500,4.52
12,4.254727,4.245142,0.160250,4.51
13,4.251433,4.241944,0.168250,4.52
14,4.248532,4.237289,0.173500,4.52
15,4.245868,4.235256,0.185250,4.52
16,4.244010,4.233832,0.194500,4.52
17,4.242026,4.230952,0.209750,4.50
18,4.240239,4.227976,0.213750,4.52
19,4.238340,4.226714,0.220500,4.52
20,4.236822,4.224262,0.204500,4.51
21,4.235528,4.223982,0.240500,4.52
22,4.234140,4.222043,0.221750,4.53
23,4.233001,4.220753,0.237750,4.53
24,4.231282,4.219385,0.238250,4.52
25,4.230443,4.218784,0.247500,4.51
26,4.229105,4.217333,0.244000,4.51
27,4.228209,4.214825,0.250750,4.52
28,4.226909,4.213934,0.258750,4.52
29,4.225518,4.214316,0.257250,4.51
30,4.224515,4.212185,0.253750,4.52
