epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.475892,4.305695,0.021500,3.79
2,4.281254,4.257242,0.107000,3.43
3,4.251838,4.241915,0.179000,3.43
4,4.240493,4.232651,0.216250,3.43
5,4.232389,4.224628,0.270750,3.42
6,4.226345,4.219202,0.288750,3.42
7,4.220634,4.213854,0.311000,3.42
8,4.215028,4.208279,0.339750,3.42
9,4.211092,4.206324,0.354000,3.42
10,4.207088,4.201240,0.387250,3.42
11,4.203844,4.199325,0.419000,3.42
12,4.200842,4.194892,0.426250,3.42
13,4.197691,4.193108,0.422500,3.42
14,4.195602,4.189651,0.489000,3.42
15,4.193174,4.187494,0.488750,3.41
16,4.191289,4.185085,0.507250,3.42
17,4.189743,4.184048,0.517750,3.42
18,4.187930,4.182616,0.523250,3.42
19,4.187046,4.181904,0.550500,3.42
20,4.185996,4.180542,0.545750,3.42
21,4.184852,4.179093,0.585750,3.42
22,4.183736,4.178170,0.590250,3.42
23,4.182753,4.177262,0.593000,3.42
24,4.181724,4.176696,0.611750,3.42
25,4.181216,4.175382,0.618000,3.41
26,4.180139,4.174936,0.636750,3.41
27,4.179320,4.174318,0.650750,3.42
28,4.178813,4.172826,0.642250,3.41
29,4.178271,4.172602,0.655250,3.42
30,4.177785,4.171821,0.682750,3.42
