epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.281841,4.204339,0.458500,3.89
2,4.190223,4.168019,0.910000,3.55
3,4.167722,4.158480,0.982250,3.54
4,4.159795,4.158427,0.991250,3.54
5,4.156030,4.155280,0.992750,3.53
6,4.153585,4.155485,0.993500,3.53
7,4.151844,4.153914,0.998250,3.53
8,4.150243,4.155623,0.993750,3.53
9,4.148910,4.152560,0.999000,3.53
10,4.147463,4.152626,0.997750,3.53
11,4.146155,4.152810,0.998250,3.53
12,4.144875,4.152076,0.999000,3.53
13,4.143347,4.152645,0.998000,3.53
14,4.142030,4.153499,0.999750,3.53
15,4.140818,4.153044,0.999500,3.53
16,4.138945,4.152488,0.999750,3.54
17,4.137558,4.153984,0.999250,3.53
18,4.135879,4.155110,0.999000,3.53
19,4.134142,4.154929,0.999750,3.54
20,4.132212,4.156634,0.998250,3.53
21,4.130387,4.157357,0.999750,3.53
22,4.128525,4.160762,1.000000,3.52
23,4.126087,4.160015,0.999750,3.53
24,4.123422,4.162220,0.999750,3.52
25,4.121355,4.163751,0.997750,3.53
26,4.119164,4.164569,0.999000,3.53
27,4.116513,4.166467,0.999500,3.53
28,4.114376,4.170167,0.998500,3.53
29,4.111602,4.172149,0.999750,3.52
30,4.108733,4.173391,1.000000,3.52
