epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.598300,4.366617,0.011250,5.53
2,4.321113,4.286200,0.075250,4.44
3,4.275538,4.257707,0.121250,4.44
4,4.255006,4.242333,0.140500,4.44
5,4.242822,4.231641,0.185000,4.43
6,4.234450,4.226363,0.192000,4.42
7,4.228081,4.219531,0.225750,4.43
8,4.222688,4.213343,0.222000,4.43
9,4.218567,4.209656,0.282000,4.42
10,4.214632,4.207892,0.244250,4.42
11,4.212211,4.205943,0.280750,4.43
12,4.209385,4.201764,0.281000,4.43
13,4.207408,4.199829,0.317000,4.43
14,4.205597,4.199206,0.323250,4.42
15,4.203499,4.197006,0.304750,4.42
16,4.201660,4.194658,0.329500,4.43
17,4.200372,4.193685,0.328500,4.42
18,4.198811,4.193537,0.340000,4.42
19,4.197480,4.191362,0.366000,4.42
20,4.196418,4.189106,0.372500,4.42
21,4.195263,4.188419,0.403000,4.42
22,4.193832,4.185576,0.391000,4.43
23,4.192820,4.187181,0.407500,4.42
24,4.192177,4.184097,0.414250,4.42
25,4.190828,4.184885,0.429000,4.42
26,4.190237,4.182712,0.454750,4.42
27,4.189399,4.181934,0.437750,4.42
28,4.188778,4.182317,0.404250,4.42
29,4.187795,4.180082,0.432000,4.42
30,4.186957,4.179912,0.432000,4.43
