epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.479321,4.310531,0.003000,5.10
2,4.289643,4.269018,0.059500,4.69
3,4.257239,4.241993,0.153750,4.68
4,4.240194,4.230719,0.192250,4.67
5,4.230386,4.220925,0.226500,4.68
6,4.223545,4.215076,0.255250,4.67
7,4.218206,4.212363,0.285500,4.69
8,4.213483,4.206715,0.299500,4.68
9,4.209745,4.202985,0.298250,4.69
10,4.206371,4.200449,0.326500,4.68
11,4.203282,4.197622,0.356500,4.67
12,4.200734,4.194079,0.380250,4.67
13,4.198265,4.194374,0.376000,4.67
14,4.196271,4.190549,0.406750,4.68
15,4.194297,4.189275,0.411750,4.67
16,4.192133,4.185470,0.422250,4.67
17,4.190301,4.184050,0.431500,4.67
18,4.188237,4.183599,0.427500,4.67
19,4.187095,4.182018,0.440500,4.67
20,4.185799,4.180827,0.463500,4.67
21,4.184773,4.178734,0.472000,4.67
22,4.183437,4.177345,0.488500,4.66
23,4.182727,4.178368,0.486750,4.67
24,4.181521,4.176293,0.497000,4.66
25,4.181187,4.175618,0.499500,4.67
26,4.180085,4.174317,0.520250,4.67
27,4.179327,4.175598,0.514000,4.66
28,4.178864,4.173016,0.527250,4.66
29,4.178123,4.172915,0.536750,4.66
30,4.177919,4.172941,0.537750,4.64
