epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.298389,4.216698,0.335000,5.23
2,4.199758,4.182863,0.779500,4.82
3,4.176808,4.170397,0.894750,4.81
4,4.167319,4.169503,0.927000,4.80
5,4.163648,4.168438,0.928250,4.81
6,4.160505,4.171188,0.918250,4.80
7,4.159445,4.168036,0.935000,4.81
8,4.157960,4.168486,0.943250,4.82
9,4.156827,4.167886,0.960750,4.79
10,4.156045,4.164245,0.952500,4.79
11,4.154931,4.167552,0.949500,4.81
12,4.154381,4.165006,0.957500,4.81
13,4.153026,4.167670,0.937000,4.81
14,4.153372,4.167789,0.939000,4.79
15,4.153204,4.169745,0.936750,4.80
16,4.153079,4.165733,0.969500,4.80
17,4.152145,4.169817,0.945000,4.80
18,4.151844,4.166223,0.927750,4.81
19,4.152143,4.165328,0.951750,4.81
20,4.151706,4.165940,0.956250,4.80
21,4.151479,4.165733,0.941750,4.82
22,4.151864,4.169053,0.953500,4.81
23,4.150932,4.167797,0.967000,4.79
24,4.150439,4.165782,0.944500,4.79
25,4.150418,4.166879,0.940750,4.80
26,4.150819,4.164446,0.962250,4.80
27,4.149432,4.167835,0.934250,4.80
28,4.150507,4.170038,0.934000,4.80
29,4.150518,4.168097,0.940750,4.79
30,4.149513,4.166824,0.941250,4.80
