epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.290187,4.284890,0.310000,13.50
2,4.258081,4.276862,0.482000,12.24
3,4.251088,4.271776,0.668000,12.21
4,4.247193,4.268101,0.879000,12.24
5,4.243762,4.264890,0.962833,12.24
6,4.241215,4.263760,0.978500,12.26
7,4.240136,4.262776,0.975000,12.24
8,4.239416,4.262061,0.983167,12.25
9,4.238320,4.261375,0.993833,12.24
10,4.237447,4.261546,0.990167,12.25
11,4.237078,4.261657,0.991000,12.23
12,4.237092,4.261314,0.981833,12.22
13,4.236582,4.261031,0.988333,12.24
14,4.235950,4.261120,0.993333,12.25
15,4.235845,4.260169,0.993000,12.22
16,4.235204,4.260022,0.997833,12.22
17,4.234576,4.260654,0.997333,12.22
18,4.234613,4.260197,0.997333,12.23
19,4.234243,4.260635,0.997833,12.24
20,4.233854,4.259721,0.998500,12.22
21,4.233657,4.259737,0.996500,12.22
22,4.232966,4.260086,0.998167,12.24
23,4.232834,4.260007,0.998667,12.25
24,4.232469,4.259812,0.999000,12.26
25,4.232525,4.260389,0.999167,12.24
26,4.232338,4.259788,0.999000,12.24
27,4.231515,4.260153,0.999833,12.23
28,4.231430,4.259940,0.999833,12.24
29,4.230849,4.260229,0.997167,12.26
30,4.230842,4.260180,0.999833,12.22
