epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.293284,4.286987,0.345167,27.21
2,4.259408,4.276379,0.606667,26.58
3,4.250211,4.269991,0.814500,26.56
4,4.245744,4.267259,0.892833,26.56
5,4.243302,4.264421,0.929667,26.55
6,4.241187,4.263462,0.950667,26.53
7,4.240092,4.262654,0.963833,26.55
8,4.239287,4.262430,0.970333,26.54
9,4.238065,4.262563,0.970667,26.53
10,4.237218,4.261519,0.976000,26.54
11,4.236700,4.262237,0.967833,26.52
12,4.236645,4.261199,0.983167,26.54
13,4.236040,4.260555,0.993167,26.53
14,4.235362,4.261183,0.982833,26.53
15,4.235180,4.259836,0.991167,26.55
16,4.234525,4.259915,0.989333,26.52
17,4.233818,4.260364,0.995333,26.55
18,4.233859,4.260336,0.992667,26.54
19,4.233402,4.259582,0.995500,26.53
20,4.233026,4.260114,0.994833,26.54
21,4.232750,4.259270,0.996167,26.53
22,4.231954,4.260509,0.996667,26.52
23,4.231848,4.260534,0.996833,26.54
24,4.231342,4.259944,0.998500,26.52
25,4.231375,4.260511,0.998667,26.54
26,4.231145,4.259597,0.999333,26.55
27,4.230298,4.260081,0.998333,26.51
28,4.230169,4.260840,0.998500,26.54
29,4.229549,4.261211,0.993333,26.55
30,4.229471,4.260665,0.999833,26.52
